ProjectID,District,County,ProjectType,ContractorID,LowBidder,ItemDescription,Unit,Quantity,UnitPrice_USD,EngineerEst_USD,LetDate
A00187297,Bryan,Washington,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,1120,135.00,135.00,2024-10-01
A00139929,Houston,Harris,Construction,FIRM-CC48,No,CEM STABIL BKFL,CY,2273.4,52.96,100.00,2024-11-06
A00196596,Beaumont,Liberty,Construction,FIRM-B173,No,CEM STABIL BKFL,CY,42,290.00,185.00,2024-08-01
A00211671,Lufkin,San Jacinto,Maintenance,FIRM-3FEF,Yes,CEM STABIL BKFL,CY,86,300.00,400.00,2024-08-28
A00211671,Lufkin,San Jacinto,Maintenance,FIRM-2375,No,CEM STABIL BKFL,CY,86,250.00,400.00,2024-08-28
A00211671,Lufkin,San Jacinto,Maintenance,FIRM-29CB,No,CEM STABIL BKFL,CY,86,400.00,400.00,2024-08-28
A00211784,Beaumont,Liberty,Maintenance,FIRM-8B19,Yes,CEM STABIL BKFL,CY,325,160.00,200.00,2024-08-22
A00211784,Beaumont,Liberty,Maintenance,FIRM-29CB,No,CEM STABIL BKFL,CY,325,200.00,200.00,2024-08-22
A00214053,Lufkin,San Augustine,Maintenance,FIRM-2375,No,CEM STABIL BKFL,CY,396,220.00,175.00,2025-09-17
A00218471,Pharr,Cameron,Maintenance,FIRM-2479,No,CEM STABIL BKFL,CY,189,350.00,400.00,2025-12-04
A00213980,Pharr,Hidalgo,Maintenance,FIRM-9545,No,CEM STABIL BKFL,CY,2583,54.00,125.00,2025-03-05
A00216038,Wichita Falls,Archer,Maintenance,FIRM-00E4,No,CEM STABIL BKFL,CY,188,300.00,215.00,2026-02-11
A00219498,Wichita Falls,Cooke,Maintenance,FIRM-CEE4,No,CEM STABIL BKFL,CY,305,320.00,215.00,2026-08-06
A00215430,Wichita Falls,Wichita,Maintenance,FIRM-7580,No,CEM STABIL BKFL,CY,50,300.00,200.00,2025-07-01
A00070553,San Angelo,Concho,Construction,FIRM-0E52,Yes,CEM STABIL BKFL,CY,290,303.60,250.00,2024-11-07
A00060851,Atlanta,Bowie,Construction,FIRM-397E,Yes,CEM STABIL BKFL,CY,1296,300.00,275.00,2024-08-01
A00132721,Dallas,Dallas,Construction,FIRM-AF82,Yes,CEM STABIL BKFL,CY,3175,103.80,250.00,2025-02-07
A00180766,Houston,Harris,Construction,FIRM-23F6,Yes,CEM STABIL BKFL,CY,12228,55.00,50.00,2024-10-02
A00126156,Laredo,La Salle,Construction,FIRM-7733,No,CEM STABIL BKFL,CY,315,200.00,190.00,2024-08-02
A00126156,Laredo,La Salle,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,144,190.00,190.00,2024-08-02
A00126156,Laredo,La Salle,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,171,190.00,190.00,2024-08-02
A00184975,Paris,Hopkins,Construction,FIRM-C6AB,Yes,CEM STABIL BKFL,CY,45,366.00,250.00,2024-08-01
A00184975,Paris,Hopkins,Construction,FIRM-115B,No,CEM STABIL BKFL,CY,45,279.66,250.00,2024-08-01
A00184975,Paris,Hopkins,Construction,FIRM-F3FB,No,CEM STABIL BKFL,CY,45,350.00,250.00,2024-08-01
A00184975,Paris,Hopkins,Construction,FIRM-49EE,No,CEM STABIL BKFL,CY,45,350.00,250.00,2024-08-01
A00184975,Paris,Hopkins,Construction,FIRM-6C9D,No,CEM STABIL BKFL,CY,45,300.00,250.00,2024-08-01
A00184975,Paris,Hopkins,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,45,250.00,250.00,2024-08-01
A00004667,Waco,Hill,Construction,FIRM-8B5E,Yes,CEM STABIL BKFL,CY,118,245.00,264.00,2024-08-01
A00004667,Waco,Hill,Construction,FIRM-C434,No,CEM STABIL BKFL,CY,118,285.00,264.00,2024-08-01
A00136648,Corpus Christi,Refugio,Construction,FIRM-8F42,Yes,CEM STABIL BKFL,CY,21,225.00,170.00,2024-08-01
A00136648,Corpus Christi,Refugio,Construction,FIRM-7733,No,CEM STABIL BKFL,CY,21,300.00,170.00,2024-08-01
A00136648,Corpus Christi,Refugio,Construction,FIRM-C0B9,No,CEM STABIL BKFL,CY,21,280.00,170.00,2024-08-01
A00136648,Corpus Christi,Refugio,Construction,FIRM-88FE,No,CEM STABIL BKFL,CY,21,210.00,170.00,2024-08-01
A00136648,Corpus Christi,Refugio,Construction,FIRM-DACB,No,CEM STABIL BKFL,CY,21,515.00,170.00,2024-08-01
A00136648,Corpus Christi,Refugio,Construction,FIRM-CC48,No,CEM STABIL BKFL,CY,21,303.00,170.00,2024-08-01
A00136648,Corpus Christi,Refugio,Construction,FIRM-8C47,No,CEM STABIL BKFL,CY,21,411.00,170.00,2024-08-01
A00136648,Corpus Christi,Refugio,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,21,170.00,170.00,2024-08-01
A00184796,Pharr,Kenedy,Construction,FIRM-E289,Yes,CEM STABIL BKFL,CY,366,300.00,250.00,2024-08-02
A00064766,Dallas,Denton,Construction,FIRM-AD6A,Yes,CEM STABIL BKFL,CY,514,250.00,200.00,2024-08-02
A00083929,Corpus Christi,Nueces,Construction,FIRM-8C47,Yes,CEM STABIL BKFL,CY,2392,74.00,200.00,2024-10-01
A00180580,Houston,Harris,Construction,FIRM-16A4,Yes,CEM STABIL BKFL,CY,1236,62.10,190.00,2024-08-02
A00180580,Houston,Harris,Construction,FIRM-9200,No,CEM STABIL BKFL,CY,1236,100.00,190.00,2024-08-02
A00214877,Corpus Christi,Nueces,Maintenance,FIRM-B379,Yes,CEM STABIL BKFL,CY,12,750.00,250.00,2025-05-20
A00216261,Dallas,Dallas,Maintenance,FIRM-4D95,Yes,CEM STABIL BKFL,CY,242,100.00,200.00,2025-10-08
A00214050,Lufkin,San Augustine,Maintenance,FIRM-5AF6,Yes,CEM STABIL BKFL,CY,7,300.00,500.00,2025-07-09
A00216261,Dallas,Dallas,Maintenance,FIRM-7362,No,CEM STABIL BKFL,CY,242,375.00,200.00,2025-10-08
A00216261,Dallas,Dallas,Maintenance,FIRM-7F87,No,CEM STABIL BKFL,CY,242,494.00,200.00,2025-10-08
A00216261,Dallas,Dallas,Maintenance,FIRM-7580,No,CEM STABIL BKFL,CY,242,750.00,200.00,2025-10-08
A00216261,Dallas,Dallas,Maintenance,FIRM-B884,No,CEM STABIL BKFL,CY,242,350.00,200.00,2025-10-08
A00216261,Dallas,Dallas,Maintenance,FIRM-40DE,No,CEM STABIL BKFL,CY,242,250.00,200.00,2025-10-08
A00216261,Dallas,Dallas,Maintenance,FIRM-1859,No,CEM STABIL BKFL,CY,242,500.00,200.00,2025-10-08
A00214877,Corpus Christi,Nueces,Maintenance,FIRM-7519,No,CEM STABIL BKFL,CY,12,400.00,250.00,2025-05-20
A00216261,Dallas,Dallas,Maintenance,FIRM-6755,No,CEM STABIL BKFL,CY,242,190.00,200.00,2025-10-08
A00214050,Lufkin,San Augustine,Maintenance,FIRM-CB2B,No,CEM STABIL BKFL,CY,7,900.00,500.00,2025-07-09
A00214877,Corpus Christi,Nueces,Maintenance,FIRM-2C76,No,CEM STABIL BKFL,CY,12,500.00,250.00,2025-05-20
A00216261,Dallas,Dallas,Maintenance,FIRM-2C76,No,CEM STABIL BKFL,CY,242,275.00,200.00,2025-10-08
A00216261,Dallas,Dallas,Maintenance,FIRM-4055,No,CEM STABIL BKFL,CY,242,230.00,200.00,2025-10-08
A00216261,Dallas,Dallas,Maintenance,FIRM-9419,No,CEM STABIL BKFL,CY,242,360.00,200.00,2025-10-08
A00216261,Dallas,Dallas,Maintenance,FIRM-1FAE,No,CEM STABIL BKFL,CY,242,180.00,200.00,2025-10-08
A00070553,San Angelo,Concho,Construction,FIRM-7733,No,CEM STABIL BKFL,CY,290,475.00,250.00,2024-11-07
A00060851,Atlanta,Bowie,Construction,FIRM-4D5C,No,CEM STABIL BKFL,CY,1296,275.00,275.00,2024-08-01
A00132721,Dallas,Dallas,Construction,FIRM-504D,No,CEM STABIL BKFL,CY,3175,183.00,250.00,2025-02-07
A00132721,Dallas,Dallas,Construction,FIRM-41BA,No,CEM STABIL BKFL,CY,3175,183.00,250.00,2025-02-07
A00180766,Houston,Harris,Construction,FIRM-16A4,No,CEM STABIL BKFL,CY,12228,63.60,50.00,2024-10-02
A00136649,Corpus Christi,San Patricio,Construction,FIRM-7733,Yes,CEM STABIL BKFL,CY,66.9,250.00,170.00,2024-08-01
A00136650,Corpus Christi,San Patricio,Construction,FIRM-C0B9,Yes,CEM STABIL BKFL,CY,22.3,230.00,170.00,2024-08-02
A00136649,Corpus Christi,San Patricio,Construction,FIRM-88FE,No,CEM STABIL BKFL,CY,66.9,200.00,170.00,2024-08-01
A00136650,Corpus Christi,San Patricio,Construction,FIRM-7733,No,CEM STABIL BKFL,CY,22.3,280.00,170.00,2024-08-02
A00136649,Corpus Christi,San Patricio,Construction,FIRM-ECFD,No,CEM STABIL BKFL,CY,66.9,189.97,170.00,2024-08-01
A00136650,Corpus Christi,San Patricio,Construction,FIRM-ECFD,No,CEM STABIL BKFL,CY,22.3,179.42,170.00,2024-08-02
A00136649,Corpus Christi,San Patricio,Construction,FIRM-8F42,No,CEM STABIL BKFL,CY,66.9,250.00,170.00,2024-08-01
A00136650,Corpus Christi,San Patricio,Construction,FIRM-8C47,No,CEM STABIL BKFL,CY,22.3,260.00,170.00,2024-08-02
A00136649,Corpus Christi,San Patricio,Construction,FIRM-DACB,No,CEM STABIL BKFL,CY,66.9,363.00,170.00,2024-08-01
A00136650,Corpus Christi,San Patricio,Construction,FIRM-A922,No,CEM STABIL BKFL,CY,22.3,130.00,170.00,2024-08-02
A00136649,Corpus Christi,San Patricio,Construction,FIRM-CC48,No,CEM STABIL BKFL,CY,66.9,238.61,170.00,2024-08-01
A00136650,Corpus Christi,San Patricio,Construction,FIRM-DACB,No,CEM STABIL BKFL,CY,22.3,682.00,170.00,2024-08-02
A00136649,Corpus Christi,San Patricio,Construction,FIRM-A922,No,CEM STABIL BKFL,CY,66.9,140.00,170.00,2024-08-01
A00136650,Corpus Christi,San Patricio,Construction,FIRM-8F42,No,CEM STABIL BKFL,CY,22.3,250.00,170.00,2024-08-02
A00136649,Corpus Christi,San Patricio,Construction,FIRM-8C47,No,CEM STABIL BKFL,CY,66.9,186.00,170.00,2024-08-01
A00136650,Corpus Christi,San Patricio,Construction,FIRM-88FE,No,CEM STABIL BKFL,CY,22.3,250.00,170.00,2024-08-02
A00136649,Corpus Christi,San Patricio,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,45.9,170.00,170.00,2024-08-01
A00136649,Corpus Christi,San Patricio,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,21,170.00,170.00,2024-08-01
A00136650,Corpus Christi,San Patricio,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,22.3,170.00,170.00,2024-08-02
A00135145,Laredo,Duval,Construction,FIRM-7733,Yes,CEM STABIL BKFL,CY,171.6,175.00,180.00,2024-08-01
A00135145,Laredo,Duval,Construction,FIRM-2E97,No,CEM STABIL BKFL,CY,171.6,140.00,180.00,2024-08-01
A00135145,Laredo,Duval,Construction,FIRM-C449,No,CEM STABIL BKFL,CY,171.6,263.00,180.00,2024-08-01
A00135145,Laredo,Duval,Construction,FIRM-74BB,No,CEM STABIL BKFL,CY,171.6,275.00,180.00,2024-08-01
A00135145,Laredo,Duval,Construction,FIRM-88FE,No,CEM STABIL BKFL,CY,171.6,250.00,180.00,2024-08-01
A00135145,Laredo,Duval,Construction,FIRM-ECFD,No,CEM STABIL BKFL,CY,171.6,156.80,180.00,2024-08-01
A00135145,Laredo,Duval,Construction,FIRM-80FF,No,CEM STABIL BKFL,CY,171.6,178.38,180.00,2024-08-01
A00135145,Laredo,Duval,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,171.6,180.00,180.00,2024-08-01
A00045322,Abilene,Taylor,Construction,FIRM-5ED6,Yes,CEM STABIL BKFL,CY,333,250.00,160.00,2025-12-03
A00184211,Atlanta,Panola,Construction,FIRM-C6AB,Yes,CEM STABIL BKFL,CY,170,250.00,200.00,2026-06-02
A00130848,Atlanta,Bowie,Construction,FIRM-0C1D,Yes,CEM STABIL BKFL,CY,15,324.00,280.00,2024-10-02
A00130902,Austin,Hays,Construction,FIRM-7C19,Yes,CEM STABIL BKFL,CY,220,190.00,225.00,2026-01-07
A00200904,Beaumont,Newton,Construction,FIRM-6C9D,Yes,CEM STABIL BKFL,CY,259.3,200.00,130.00,2026-03-05
A00178374,Beaumont,Orange,Construction,FIRM-49EE,Yes,CEM STABIL BKFL,CY,177,250.00,130.00,2026-05-07
A00183477,Beaumont,Jefferson,Construction,FIRM-85FC,Yes,CEM STABIL BKFL,CY,259,108.00,125.00,2026-06-03
A00192187,Beaumont,Chambers,Construction,FIRM-F5C3,Yes,CEM STABIL BKFL,CY,48,105.00,125.00,2026-08-06
A00187963,Beaumont,Hardin,Construction,FIRM-BCBF,Yes,CEM STABIL BKFL,CY,1071,80.00,200.00,2026-07-01
A00206315,Brownwood,Coleman,Construction,FIRM-0E52,Yes,CEM STABIL BKFL,CY,19,400.00,288.00,2026-06-03
A00188032,Bryan,Brazos,Construction,FIRM-7519,Yes,CEM STABIL BKFL,CY,85,300.00,200.00,2025-05-02
A00189999,Bryan,Washington,Construction,FIRM-3FEF,Yes,CEM STABIL BKFL,CY,128,200.00,220.00,2026-04-07
A00189992,Bryan,Leon,Construction,FIRM-C6AB,Yes,CEM STABIL BKFL,CY,304.3,275.00,190.00,2026-08-05
A00209977,Bryan,Brazos,Construction,FIRM-80CC,Yes,CEM STABIL BKFL,CY,74,260.00,150.00,2026-03-05
A00207372,Childress,Dickens,Construction,FIRM-88FE,Yes,CEM STABIL BKFL,CY,57,250.00,300.00,2025-12-03
A00186409,Corpus Christi,Nueces,Construction,FIRM-8B19,Yes,CEM STABIL BKFL,CY,146,177.00,157.00,2026-04-08
A00136586,Corpus Christi,Goliad,Construction,FIRM-74BB,Yes,CEM STABIL BKFL,CY,94,175.00,220.00,2026-05-06
A00176646,Corpus Christi,Nueces,Construction,FIRM-336E,Yes,CEM STABIL BKFL,CY,190,129.00,157.00,2026-05-06
A00190177,Corpus Christi,Karnes,Construction,FIRM-00E4,Yes,CEM STABIL BKFL,CY,75,300.00,200.00,2026-06-02
A00190949,Corpus Christi,Goliad,Construction,FIRM-ECFD,Yes,CEM STABIL BKFL,CY,38,152.45,195.00,2026-06-03
A00190176,Corpus Christi,Jim Wells,Construction,FIRM-7733,Yes,CEM STABIL BKFL,CY,24,350.00,220.00,2026-06-03
A00176929,Corpus Christi,Bee,Construction,FIRM-4064,Yes,CEM STABIL BKFL,CY,10,195.00,250.00,2024-10-02
A00196471,Corpus Christi,Karnes,Construction,FIRM-2B61,Yes,CEM STABIL BKFL,CY,205,140.00,150.00,2026-08-05
A00123610,Corpus Christi,San Patricio,Construction,FIRM-A922,Yes,CEM STABIL BKFL,CY,378,175.00,225.00,2025-09-05
A00128788,Corpus Christi,Nueces,Construction,FIRM-8C47,Yes,CEM STABIL BKFL,CY,16675,52.00,60.00,2026-01-06
A00194041,Dallas,Navarro,Construction,FIRM-64D9,Yes,CEM STABIL BKFL,CY,109,220.00,230.00,2026-02-05
A00212454,Dallas,Collin,Construction,FIRM-CEE4,Yes,CEM STABIL BKFL,CY,466,240.00,220.00,2026-07-01
A00187792,Dallas,Collin,Construction,FIRM-6D2A,Yes,CEM STABIL BKFL,CY,789,222.00,200.00,2026-08-06
A00045441,Dallas,Rockwall,Construction,FIRM-0E6B,Yes,CEM STABIL BKFL,CY,520,190.00,220.00,2026-02-04
A00184275,El Paso,El Paso,Construction,FIRM-00C2,Yes,CEM STABIL BKFL,CY,44,275.00,215.00,2025-10-08
A00070553,San Angelo,Concho,Construction,FIRM-292D,No,CEM STABIL BKFL,CY,290,453.71,250.00,2024-11-07
A00180766,Houston,Harris,Construction,FIRM-80FF,No,CEM STABIL BKFL,CY,12228,59.29,50.00,2024-10-02
A00180766,Houston,Harris,Construction,FIRM-AF82,No,CEM STABIL BKFL,CY,12228,60.00,50.00,2024-10-02
A00180766,Houston,Harris,Construction,FIRM-1A5E,No,CEM STABIL BKFL,CY,12228,54.02,50.00,2024-10-02
A00072353,San Angelo,Concho,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,290,250.00,250.00,2024-11-07
A00059228,Atlanta,Bowie,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,396,275.00,275.00,2024-08-01
A00060850,Atlanta,Bowie,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,235,275.00,275.00,2024-08-01
A00059601,Atlanta,Bowie,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,321,275.00,275.00,2024-08-01
A00060851,Atlanta,Bowie,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,304,275.00,275.00,2024-08-01
A00059228,Atlanta,Bowie,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,40,275.00,275.00,2024-08-01
A00132721,Dallas,Dallas,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,3175,250.00,250.00,2025-02-07
A00139930,Houston,Harris,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,1576,50.00,50.00,2024-10-02
A00125784,Houston,Harris,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,6275,50.00,50.00,2024-10-02
A00125785,Houston,Harris,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,2772,50.00,50.00,2024-10-02
A00123269,Houston,Harris,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,1605,50.00,50.00,2024-10-02
A00122735,Paris,Grayson,Construction,FIRM-AD6A,Yes,CEM STABIL BKFL,CY,23311,177.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-8973,No,CEM STABIL BKFL,CY,23311,203.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-504D,No,CEM STABIL BKFL,CY,23311,86.50,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-B7BE,No,CEM STABIL BKFL,CY,23311,220.52,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,166,160.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,478,160.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,115,160.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,8444,160.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,103,160.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,5710,160.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,8150,160.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,94,160.00,160.00,2024-10-01
A00122735,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,51,160.00,160.00,2024-10-01
A00123549,Paris,Grayson,Construction,FIRM-8973,Yes,CEM STABIL BKFL,CY,2890,230.00,144.20,2024-11-07
A00123549,Paris,Grayson,Construction,FIRM-504D,No,CEM STABIL BKFL,CY,2890,194.00,144.20,2024-11-07
A00123549,Paris,Grayson,Construction,FIRM-E801,No,CEM STABIL BKFL,CY,2890,200.00,144.20,2024-11-07
A00136250,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,7,144.20,144.20,2024-11-07
A00136248,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,7,144.20,144.20,2024-11-07
A00136249,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,7,144.20,144.20,2024-11-07
A00123549,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,427,144.20,144.20,2024-11-07
A00123549,Paris,Grayson,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,2442,144.20,144.20,2024-11-07
A00004864,Waco,McLennan,Construction,FIRM-80FF,Yes,CEM STABIL BKFL,CY,44625,163.68,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-504D,No,CEM STABIL BKFL,CY,44625,51.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,39916,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,210,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,546,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,548,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,389,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,352,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,435,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,469,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,360,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,589,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,349,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,197,200.00,200.00,2024-10-02
A00004864,Waco,McLennan,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,265,200.00,200.00,2024-10-02
A00123795,Bryan,Brazos,Construction,FIRM-3773,Yes,CEM STABIL BKFL,CY,17997,108.83,120.00,2025-03-05
A00123795,Bryan,Brazos,Construction,FIRM-504D,No,CEM STABIL BKFL,CY,17997,100.00,120.00,2025-03-05
A00123795,Bryan,Brazos,Construction,FIRM-1816,No,CEM STABIL BKFL,CY,17997,156.95,120.00,2025-03-05
A00123795,Bryan,Brazos,Construction,FIRM-050A,No,CEM STABIL BKFL,CY,17997,267.97,120.00,2025-03-05
A00124604,Bryan,Brazos,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,4816,120.00,120.00,2025-03-05
A00124604,Bryan,Brazos,Construction,FIRM-29CB,No,CEM STABIL BKFL,CY,378,120.00,120.00,2025-03-05
