ProjectID,District,County,ProjectType,ContractorID,LetDate,NumBidders,WinningBid_USD,EngineerEst_USD,WorkingDays
A00214550,Laredo,Val Verde,Construction,FIRM-CF69,2025-06-05,11,108050.00,247660.00,5
A00184350,Odessa,Ector,Construction,FIRM-B884,2025-06-05,12,8360128.00,6735407.03,177
A00193283,Fort Worth,Tarrant,Construction,FIRM-1859,2024-12-03,9,2584707.50,1658355.81,214
A00197898,Austin,Travis,Construction,FIRM-40DE,2024-12-04,6,768495.00,801600.00,48
A00206103,Waco,McLennan,Construction,FIRM-DF31,2024-08-01,7,1013078.00,983606.25,120
A00198343,Austin,Travis,Construction,FIRM-00C2,2024-08-02,2,406602.55,413697.36,38
A00182639,Lufkin,Houston,Construction,FIRM-68F6,2024-08-01,2,1536462.00,823651.75,128
A00205571,San Angelo,Tom Green,Construction,FIRM-72A0,2024-08-01,4,2806718.44,2657355.80,140
A00195580,Corpus Christi,Live Oak,Construction,FIRM-B173,2024-08-02,4,14385828.18,17609534.40,353
A00180603,Houston,Galveston,Construction,FIRM-D186,2024-08-01,6,315582.23,371716.55,66
A00216037,Wichita Falls,Young,Maintenance,FIRM-6755,2026-01-21,3,562607.50,445535.00,150
A00219004,Yoakum,Wharton,Maintenance,FIRM-81BD,2026-05-11,3,933297.28,839068.65,30
A00213056,Yoakum,Victoria,Maintenance,FIRM-81BD,2025-01-15,3,998424.27,999500.00,365
A00217650,Abilene,Haskell,Maintenance,FIRM-5ED6,2025-10-14,4,885782.99,895193.00,365
A00214718,Austin,Travis,Maintenance,FIRM-573E,2025-08-07,5,12111218.45,17510932.40,231
A00218660,Brownwood,Brown,Maintenance,FIRM-586A,2026-02-05,7,1025505.16,1499178.78,90
A00218661,Brownwood,Eastland,Maintenance,FIRM-7C19,2026-02-11,6,1052574.22,998666.47,90
A00213022,Bryan,Brazos,Maintenance,FIRM-7B58,2025-01-08,6,898733.55,1143823.75,10
A00217747,Bryan,Robertson,Maintenance,FIRM-B173,2026-03-05,8,2329117.10,2222204.58,25
A00214913,Bryan,Brazos,Maintenance,FIRM-C434,2025-06-10,6,814127.50,866860.00,365
A00214914,Bryan,Walker,Maintenance,FIRM-7B58,2025-05-02,6,1349975.00,1311700.00,365
A00214912,Bryan,Washington,Maintenance,FIRM-7B58,2025-05-06,5,733532.50,788450.00,365
A00217428,Pharr,Hidalgo,Maintenance,FIRM-357D,2026-04-08,4,1249484.00,1359545.50,192
A00215571,Pharr,Hidalgo,Maintenance,FIRM-B122,2025-07-22,5,817470.07,895298.00,140
A00216569,Pharr,Hidalgo,Maintenance,FIRM-970E,2025-08-07,5,1296843.44,1498583.17,730
A00217976,Pharr,Hidalgo,Maintenance,FIRM-57DC,2026-02-04,6,1685137.64,2181454.09,120
A00218360,Pharr,Starr,Maintenance,FIRM-1A77,2025-12-02,2,893522.80,942608.00,730
A00211842,Pharr,Hidalgo,Maintenance,FIRM-196E,2024-09-05,3,424500.00,437000.00,480
A00214871,Pharr,Hidalgo,Maintenance,FIRM-449E,2025-04-15,7,415049.00,437000.00,480
A00215277,San Angelo,Tom Green,Maintenance,FIRM-A40A,2025-10-14,2,828114.14,758795.20,60
A00214606,San Angelo,Tom Green,Maintenance,FIRM-75F3,2025-05-01,3,1377750.10,1327656.00,365
A00215234,San Antonio,Bexar,Maintenance,FIRM-6244,2025-06-18,4,175413.73,183920.00,15
A00215243,San Antonio,Bexar,Maintenance,FIRM-6244,2025-06-18,4,313178.84,289130.00,27
A00215232,San Antonio,Medina,Maintenance,FIRM-FAE7,2025-06-18,5,258171.10,296520.40,39
A00215227,San Antonio,Kerr,Maintenance,FIRM-6244,2025-06-18,4,451750.80,326675.50,40
A00215233,San Antonio,Comal,Maintenance,FIRM-1BB8,2025-06-18,4,593778.00,506440.00,70
A00215011,Tyler,Gregg,Maintenance,FIRM-DAA9,2025-09-16,3,283388.44,430395.20,42
A00215012,Tyler,Henderson,Maintenance,FIRM-A40A,2025-09-16,2,547291.30,436550.20,42
A00218213,Wichita Falls,Wichita,Maintenance,FIRM-8D8B,2025-12-10,4,816731.00,636693.00,36
A00213189,Wichita Falls,Cooke,Maintenance,FIRM-7A54,2025-07-25,8,577561.74,958755.00,80
A00213590,Yoakum,Lavaca,Maintenance,FIRM-6244,2025-06-12,5,1172844.57,995670.40,83
A00214759,Yoakum,Austin,Maintenance,FIRM-9C62,2025-08-13,6,125529.00,194156.00,90
A00214764,Yoakum,De Witt,Maintenance,FIRM-AD0D,2025-08-13,8,112281.05,186212.00,90
A00214766,Yoakum,Calhoun,Maintenance,FIRM-1CB8,2025-08-07,9,1335470.54,1911345.27,75
A00216584,Austin,Bastrop,Maintenance,FIRM-6731,2026-07-08,7,140350.00,179290.00,42
A00188833,Amarillo,Potter,Construction,FIRM-8698,2024-09-06,4,3354582.50,3248892.00,182
A00134846,Fort Worth,Tarrant,Construction,FIRM-2DCC,2024-08-02,5,1888888.87,2605720.00,300
A00205613,Houston,Harris,Construction,FIRM-1A5E,2024-08-02,5,4753276.24,6203016.33,635
A00193138,Austin,Travis,Construction,FIRM-D848,2024-08-01,8,457971.56,533560.38,73
A00194047,El Paso,El Paso,Construction,FIRM-C9ED,2024-08-02,2,2231207.47,2125589.74,196
A00199363,Beaumont,Jefferson,Construction,FIRM-CA3B,2024-08-02,4,181194.00,260000.00,9
A00135046,Corpus Christi,Nueces,Construction,FIRM-AD0D,2024-08-02,7,2562692.01,4893749.30,44
A00193945,Dallas,Dallas,Construction,FIRM-3FEF,2024-08-02,4,773400.00,737050.00,45
A00193180,Fort Worth,Johnson,Construction,FIRM-AC3C,2024-08-01,7,90220.00,118150.00,40
A00131229,Houston,Harris,Construction,FIRM-E675,2024-08-01,5,398115.17,581054.77,68
A00193193,Pharr,Hidalgo,Construction,FIRM-D848,2024-08-01,4,241811.09,238964.20,34
A00187297,Bryan,Washington,Construction,FIRM-C434,2024-10-01,6,17441398.88,20997386.58,293
A00208777,Dallas,Kaufman,Construction,FIRM-EBCE,2024-08-01,5,3012842.00,2888827.60,172
A00193454,Houston,Galveston,Construction,FIRM-D186,2024-08-01,6,411474.50,643489.90,42
A00219467,Dallas,Navarro,Maintenance,FIRM-B173,2026-08-12,5,955632.80,991442.50,25
A00214635,Dallas,Collin,Maintenance,FIRM-CEE4,2025-07-09,4,441920.25,474864.18,30
A00217376,Dallas,Collin,Maintenance,FIRM-B8AE,2026-05-13,2,236150.97,197454.00,30
A00217106,Dallas,Denton,Maintenance,FIRM-3F89,2026-08-12,8,662133.21,687370.30,34
A00217348,Dallas,Ellis,Maintenance,FIRM-C434,2026-04-08,8,1143763.90,1437046.10,50
A00211540,Dallas,Ellis,Maintenance,FIRM-B8AE,2025-05-02,6,1004907.92,1152692.01,80
A00214386,Dallas,Navarro,Maintenance,FIRM-B173,2025-05-07,5,924038.00,843352.00,180
A00211674,Fort Worth,Johnson,Maintenance,FIRM-3F89,2025-01-07,5,3330725.30,4209090.28,365
A00214734,Fort Worth,Tarrant,Maintenance,FIRM-1816,2025-07-02,6,3130822.01,4368583.89,365
A00212324,Fort Worth,Wise,Maintenance,FIRM-CF08,2025-01-07,6,6475473.33,5764659.74,365
A00212912,Houston,Harris,Maintenance,FIRM-23F6,2025-08-08,4,1994500.00,2154550.00,730
A00214483,Houston,Fort Bend,Maintenance,FIRM-CA7F,2025-06-10,4,534900.00,550820.55,365
A00211693,Houston,Fort Bend,Maintenance,FIRM-75F3,2025-04-15,15,427543.00,607155.00,365
A00216550,Lufkin,Nacogdoches,Maintenance,FIRM-B173,2025-08-13,3,827886.45,960749.00,40
A00212173,Paris,Hopkins,Maintenance,FIRM-3FEF,2024-11-21,6,427200.00,371078.00,40
A00217804,Paris,Hopkins,Maintenance,FIRM-DAA9,2025-11-20,7,190653.43,246622.50,40
A00218598,San Antonio,Bexar,Maintenance,FIRM-2B61,2026-01-07,6,1555322.57,1622506.93,365
A00218599,San Antonio,Bexar,Maintenance,FIRM-B173,2026-01-06,5,1616344.10,1659105.95,365
A00218601,San Antonio,Frio,Maintenance,FIRM-2B61,2026-01-07,7,1957501.52,1980953.64,365
A00218569,San Antonio,Kerr,Maintenance,FIRM-2B61,2026-01-07,5,1989196.99,1849461.80,365
A00218600,San Antonio,Wilson,Maintenance,FIRM-B173,2026-01-06,6,1893845.70,2037436.46,365
A00212078,San Antonio,Medina,Maintenance,FIRM-2B61,2024-10-01,8,2137469.20,2353656.48,365
A00211943,San Antonio,Atascosa,Maintenance,FIRM-37C1,2024-10-01,5,1415565.24,1887311.51,132
A00217257,San Antonio,Wilson,Maintenance,FIRM-37C1,2025-10-09,5,2086489.07,2340469.51,132
A00217157,Tyler,Smith,Maintenance,FIRM-8056,2025-12-02,5,1933465.00,2298777.50,24
A00217142,Tyler,Wood,Maintenance,FIRM-68F6,2025-09-05,6,1916265.50,2468586.50,25
A00217143,Tyler,Henderson,Maintenance,FIRM-8056,2025-09-05,4,4487610.00,5605029.90,52
A00212214,Waco,Hill,Maintenance,FIRM-8056,2024-12-04,4,1448925.00,1580805.60,365
A00217948,Waco,McLennan,Maintenance,FIRM-B173,2026-01-14,4,669245.50,661758.75,365
A00212213,Waco,McLennan,Maintenance,FIRM-8056,2024-12-04,4,1423275.00,1638414.57,365
A00180616,Houston,Harris,Construction,FIRM-9CC3,2024-08-02,2,998083.31,1065254.99,149
A00196827,San Angelo,Tom Green,Construction,FIRM-292D,2024-11-06,3,3735644.55,2491289.31,175
A00193158,Tyler,Smith,Construction,FIRM-0E52,2024-11-06,6,1734104.84,1449885.71,133
A00194677,Wichita Falls,Young,Construction,FIRM-D8DE,2024-08-01,6,4490409.69,4748281.73,95
A00196818,San Angelo,Tom Green,Construction,FIRM-C449,2024-08-02,2,2447858.80,2221106.20,143
A00201476,Lufkin,Polk,Construction,FIRM-DAA9,2024-08-02,5,5472431.47,6970372.75,203
A00193159,Austin,Williamson,Construction,FIRM-C449,2024-08-01,7,567567.00,651968.47,99
A00200684,Tyler,Smith,Construction,FIRM-B48A,2024-11-07,19,3108496.40,4536200.00,259
A00198513,Houston,Harris,Construction,FIRM-8B19,2024-08-01,6,3184595.00,5423928.00,539
A00126156,Laredo,La Salle,Construction,FIRM-ECFD,2024-08-02,6,12342227.72,14758445.79,580
A00135507,Fort Worth,Tarrant,Construction,FIRM-CA49,2025-03-04,5,4204056.00,3901065.00,768
A00193250,San Angelo,Tom Green,Construction,FIRM-3DD2,2024-08-01,4,273114.60,251645.91,51
A00198667,Tyler,Smith,Construction,FIRM-9888,2024-11-06,8,865454.00,820887.90,72
A00198663,Tyler,Smith,Construction,FIRM-0E52,2024-11-06,7,1685437.84,1555500.00,144
A00134161,Waco,Limestone,Construction,FIRM-8056,2024-11-06,7,9559736.50,13009783.40,210
A00139929,Houston,Harris,Construction,FIRM-23F6,2024-11-06,4,20354967.27,21488383.75,549
A00190503,San Antonio,Uvalde,Construction,FIRM-B479,2024-08-01,6,118630.28,90089.00,180
A00212222,Waco,McLennan,Maintenance,FIRM-9ED8,2025-03-20,9,420190.00,592265.00,365
A00219520,Waco,McLennan,Maintenance,FIRM-4055,2026-04-08,9,755540.00,968608.78,365
A00213281,Waco,McLennan,Maintenance,FIRM-C449,2025-04-04,5,1538097.95,1609077.13,180
A00213187,Yoakum,Fayette,Maintenance,FIRM-1338,2025-10-22,6,205668.40,213885.90,75
A00213185,Yoakum,Victoria,Maintenance,FIRM-2375,2025-08-15,9,335309.25,611139.09,75
A00216224,Abilene,Taylor,Maintenance,FIRM-2479,2025-10-14,5,972599.50,627217.00,42
A00214120,Abilene,Callahan,Maintenance,FIRM-621E,2025-03-20,9,348072.00,410943.78,365
A00214125,Abilene,Haskell,Maintenance,FIRM-A9C9,2025-04-01,3,217898.00,254009.87,365
A00214118,Abilene,Howard,Maintenance,FIRM-621E,2025-03-27,3,467354.00,541025.86,365
A00214119,Abilene,Jones,Maintenance,FIRM-621E,2025-03-27,3,331915.20,383380.58,365
A00213455,Abilene,Kent,Maintenance,FIRM-621E,2025-03-20,6,409445.00,413098.31,365
A00214124,Abilene,Mitchell,Maintenance,FIRM-621E,2025-03-25,4,254780.69,276244.91,365
A00214121,Abilene,Nolan,Maintenance,FIRM-621E,2025-03-20,7,248129.00,292624.20,365
A00214123,Abilene,Scurry,Maintenance,FIRM-621E,2025-03-27,3,238076.40,269506.04,365
A00214122,Abilene,Shackelford,Maintenance,FIRM-A9C9,2025-03-25,6,145285.15,157946.45,365
A00214126,Abilene,Taylor,Maintenance,FIRM-95E3,2025-04-01,2,183251.00,214208.94,365
A00214117,Abilene,Taylor,Maintenance,FIRM-95E3,2025-03-25,3,330241.00,401850.50,365
A00218135,Abilene,Howard,Maintenance,FIRM-B029,2026-01-15,3,222761.00,247887.40,273
A00218131,Abilene,Taylor,Maintenance,FIRM-2970,2026-01-15,3,324596.00,418717.10,273
A00212175,Abilene,Howard,Maintenance,FIRM-B029,2024-11-26,3,410935.00,563595.00,365
A00212174,Abilene,Taylor,Maintenance,FIRM-B029,2024-11-26,3,418500.00,524890.00,365
A00212422,Abilene,Howard,Maintenance,FIRM-449E,2024-11-26,6,231515.30,316750.00,46
A00214039,Amarillo,Potter,Maintenance,FIRM-A40A,2025-09-05,4,1963566.30,1769107.60,76
A00218375,Amarillo,Potter,Maintenance,FIRM-9BF0,2026-03-18,3,272385.00,294482.00,50
A00214631,Amarillo,Potter,Maintenance,FIRM-DC30,2025-04-23,5,329294.26,506948.00,45
A00218944,Amarillo,Potter,Maintenance,FIRM-A214,2026-03-18,4,640393.60,614855.42,60
A00215474,Austin,Travis,Maintenance,FIRM-2375,2025-11-12,13,570915.00,822270.00,65
A00215471,Austin,Williamson,Maintenance,FIRM-9D5B,2026-01-14,10,522876.00,725466.02,66
A00215477,Austin,Travis,Maintenance,FIRM-8D8B,2026-05-13,5,439780.98,522354.00,78
A00212530,Austin,Bastrop,Maintenance,FIRM-8201,2025-08-13,5,350356.66,700000.00,126
A00214347,Austin,Williamson,Maintenance,FIRM-F002,2025-07-09,8,93836.00,186861.91,65
A00212635,Atlanta,Bowie,Maintenance,FIRM-649E,2025-02-20,5,715078.00,825242.50,365
A00212636,Atlanta,Harrison,Maintenance,FIRM-31A1,2025-02-20,6,730955.00,825242.50,365
A00212637,Atlanta,Titus,Maintenance,FIRM-31A1,2025-02-20,4,730955.03,825242.50,365
A00217124,Corpus Christi,Nueces,Maintenance,FIRM-3866,2025-10-21,4,384353.75,428436.50,170
A00214632,Dallas,Kaufman,Maintenance,FIRM-EFD2,2025-07-09,4,306115.00,923560.00,365
A00214578,Dallas,Kaufman,Maintenance,FIRM-EFD2,2025-07-02,6,608290.00,1412845.00,365
A00215507,Dallas,Dallas,Maintenance,FIRM-2C76,2025-07-31,3,930156.12,848586.50,68
A00215508,Dallas,Dallas,Maintenance,FIRM-2C76,2025-07-31,3,1066860.94,980959.38,68
A00217254,Dallas,Dallas,Maintenance,FIRM-A646,2025-08-13,4,1119711.40,954871.50,68
A00217648,Dallas,Dallas,Maintenance,FIRM-035A,2025-10-15,6,623501.55,957933.68,68
A00216929,Dallas,Dallas,Maintenance,FIRM-EFD2,2025-08-13,5,927357.45,972549.88,68
A00218278,Dallas,Dallas,Maintenance,FIRM-80E3,2026-07-01,3,2424621.71,3077247.18,730
A00217331,Dallas,Ellis,Maintenance,FIRM-6755,2025-11-12,8,408528.00,552300.00,365
A00217115,Dallas,Navarro,Maintenance,FIRM-EFD2,2025-12-10,10,124287.00,316130.00,365
A00216373,Fort Worth,Tarrant,Maintenance,FIRM-8B19,2025-10-08,8,1167456.23,1834602.40,180
A00214326,Houston,Harris,Maintenance,FIRM-6755,2025-06-05,8,754394.00,1044275.00,730
A00215015,Laredo,Webb,Maintenance,FIRM-8B19,2025-07-01,5,1788378.08,1374656.28,160
A00216240,Lufkin,Angelina,Maintenance,FIRM-2375,2025-07-23,4,293167.00,282300.00,365
A00211578,Lufkin,Houston,Maintenance,FIRM-40DE,2024-09-11,5,97685.00,129290.30,365
A00217122,Lufkin,Houston,Maintenance,FIRM-2375,2025-09-24,4,176050.00,193750.00,365
A00214694,Lufkin,Polk,Maintenance,FIRM-6731,2025-05-21,3,163555.00,190930.60,365
A00217092,Odessa,Reeves,Maintenance,FIRM-7519,2025-08-12,3,520679.00,686750.00,365
A00218435,Tyler,Wood,Maintenance,FIRM-A66A,2026-05-12,2,330480.00,318875.00,730
A00214716,Austin,Williamson,Maintenance,FIRM-586A,2025-08-08,6,13801280.44,22291641.84,225
A00217813,Beaumont,Chambers,Maintenance,FIRM-B173,2026-05-12,4,566129.25,534167.65,30
A00213849,Beaumont,Jasper,Maintenance,FIRM-7B58,2025-06-04,3,2469559.00,2843734.79,54
A00213021,Bryan,Washington,Maintenance,FIRM-7B58,2025-03-05,10,1299406.20,1454685.33,25
A00213018,Bryan,Madison,Maintenance,FIRM-8056,2025-06-04,6,3461709.75,4066898.90,26
A00217203,Bryan,Robertson,Maintenance,FIRM-573E,2026-05-07,6,2266507.80,2801462.93,30
A00214289,Corpus Christi,Karnes,Maintenance,FIRM-81BD,2025-04-03,5,1289865.64,1452855.06,365
A00216248,Dallas,Collin,Maintenance,FIRM-3FEF,2025-10-15,5,444180.20,640676.08,34
A00216760,Dallas,Collin,Maintenance,FIRM-40DE,2025-10-15,5,461459.00,451670.00,14
A00213646,Dallas,Rockwall,Maintenance,FIRM-B173,2026-07-08,5,1174731.82,990798.80,50
A00214310,Dallas,Kaufman,Maintenance,FIRM-3F89,2025-07-01,6,2959052.00,3717673.50,137
A00214744,Lubbock,Castro,Maintenance,FIRM-08FE,2025-12-02,9,2282169.65,2132740.81,85
A00215396,Paris,Lamar,Maintenance,FIRM-3FEF,2025-07-24,2,223063.20,258093.00,32
A00214346,Paris,Grayson,Maintenance,FIRM-F9CD,2025-07-02,3,4089492.44,4659491.20,254
A00215035,Paris,Delta,Maintenance,FIRM-0C1D,2025-07-02,3,6077146.15,5866759.30,102
A00215787,San Angelo,Real,Maintenance,FIRM-38DD,2025-08-26,3,461671.80,357864.93,50
A00219498,Wichita Falls,Cooke,Maintenance,FIRM-3FEF,2026-08-06,4,987928.20,1042851.17,96
A00213057,Yoakum,Gonzales,Maintenance,FIRM-81BD,2025-09-04,5,2922696.74,3471249.50,365
A00214602,Abilene,Kent,Maintenance,FIRM-2C76,2026-05-13,8,572628.00,867768.65,68
A00219000,Austin,Hays,Maintenance,FIRM-573E,2026-05-13,4,890313.75,938785.00,120
A00215427,Austin,Travis,Maintenance,FIRM-81BD,2026-02-11,3,717000.25,991479.60,120
A00215429,Austin,Travis,Maintenance,FIRM-357D,2025-12-10,4,455590.00,599663.85,730
A00216599,Austin,Hays,Maintenance,FIRM-357D,2026-08-06,6,1975939.10,1745379.05,730
A00212082,Beaumont,Chambers,Maintenance,FIRM-8D8B,2025-02-18,7,258947.00,368260.00,365
A00216549,Beaumont,Chambers,Maintenance,FIRM-2375,2026-02-10,7,342306.00,484870.00,365
A00212523,Beaumont,Jasper,Maintenance,FIRM-75F3,2025-06-04,5,671470.00,1415277.50,365
A00213969,Beaumont,Jefferson,Maintenance,FIRM-75F3,2025-06-04,5,622654.00,1065545.00,365
A00215344,Bryan,Freestone,Maintenance,FIRM-C434,2025-06-10,7,403575.00,783650.00,365
A00215732,Bryan,Grimes,Maintenance,FIRM-7B58,2025-06-12,5,362890.00,783650.00,365
A00215733,Bryan,Washington,Maintenance,FIRM-7B58,2025-06-11,6,230840.00,490650.00,365
A00213054,Dallas,Collin,Maintenance,FIRM-555E,2025-06-11,7,170348.00,205679.00,19
A00217944,Dallas,Ellis,Maintenance,FIRM-3FEF,2026-02-11,8,312935.00,374925.00,30
A00217120,Dallas,Dallas,Maintenance,FIRM-CB2B,2025-11-05,3,2084886.00,2412741.00,365
A00214926,Dallas,Kaufman,Maintenance,FIRM-4D95,2025-08-13,6,318290.00,347450.00,365
A00216020,Dallas,Denton,Maintenance,FIRM-3FEF,2026-01-14,6,382330.75,355352.09,25
A00218079,El Paso,El Paso,Maintenance,FIRM-9A1B,2026-02-10,3,1079180.00,822750.00,365
A00186884,Houston,Brazoria,Construction,FIRM-CA3B,2024-08-02,4,835253.60,978737.53,99
A00193470,Houston,Montgomery,Construction,FIRM-CA3B,2024-08-02,5,573846.14,745470.10,83
A00193605,Paris,Franklin,Construction,FIRM-3E2B,2024-08-01,3,167535.90,173451.54,22
A00209691,Waco,Bell,Construction,FIRM-EEA6,2024-08-01,6,1467608.80,1995966.38,180
A00082318,Bryan,Robertson,Construction,FIRM-80CC,2024-11-07,6,18997916.10,19385140.90,360
A00195111,Paris,Fannin,Construction,FIRM-3E2B,2024-08-02,4,516689.00,528887.00,32
A00130739,Houston,Harris,Construction,FIRM-BCBF,2024-08-01,5,4137770.75,5144475.90,118
A00193005,Houston,Harris,Construction,FIRM-B173,2024-08-02,4,18279582.41,18228317.57,137
A00180732,Houston,Harris,Construction,FIRM-D186,2024-08-01,6,753027.04,1139040.38,195
A00186876,Houston,Harris,Construction,FIRM-CA3B,2024-08-02,4,658352.03,902284.90,152
A00130772,Houston,Harris,Construction,FIRM-E675,2024-08-01,6,464642.33,832681.00,68
A00196596,Beaumont,Liberty,Construction,FIRM-A503,2024-08-01,6,3702741.54,3734209.20,90
A00201983,Fort Worth,Hood,Construction,FIRM-3505,2024-08-01,5,941155.73,1554331.76,85
A00193459,Houston,Galveston,Construction,FIRM-6C4B,2024-08-01,7,1024065.57,1693031.70,119
A00180611,Houston,Montgomery,Construction,FIRM-6C4B,2024-08-01,7,518164.78,1710175.50,60
A00128019,Lubbock,Hale,Construction,FIRM-F311,2024-10-01,3,26114007.11,20473703.50,445
A00215077,Beaumont,Chambers,Maintenance,FIRM-A40A,2025-06-17,3,237217.33,235325.50,15
A00212344,Beaumont,Jasper,Maintenance,FIRM-A40A,2025-06-17,4,665142.46,871646.16,36
A00214733,Beaumont,Jefferson,Maintenance,FIRM-FAE7,2025-06-17,4,327137.22,382073.45,37
A00212359,Beaumont,Orange,Maintenance,FIRM-75F3,2025-03-05,3,3671201.00,3777909.00,730
A00215793,Brownwood,Eastland,Maintenance,FIRM-FAE7,2025-08-28,4,565807.00,569595.64,49
A00218646,Bryan,Walker,Maintenance,FIRM-3FEF,2026-02-10,8,57501.00,101566.99,9
A00219623,Bryan,Grimes,Maintenance,FIRM-D186,2026-03-17,5,260839.30,322718.24,30
A00217586,Childress,Childress,Maintenance,FIRM-FAE7,2025-10-14,3,757663.00,589150.00,16
A00214428,Corpus Christi,Nueces,Maintenance,FIRM-6244,2025-08-19,3,168350.00,109365.00,17
A00214430,Corpus Christi,San Patricio,Maintenance,FIRM-A40A,2025-08-19,3,179918.00,188250.00,20
A00214429,Corpus Christi,Karnes,Maintenance,FIRM-A40A,2025-07-15,4,333539.41,272462.50,41
A00214427,Corpus Christi,Live Oak,Maintenance,FIRM-1BB8,2025-07-15,4,312800.09,284512.50,43
A00212944,Dallas,Collin,Maintenance,FIRM-FAE7,2025-08-13,4,131448.01,137066.85,14
A00215107,Dallas,Kaufman,Maintenance,FIRM-FAE7,2025-08-13,4,72996.00,72719.25,14
A00213150,Dallas,Denton,Maintenance,FIRM-FAE7,2025-08-13,5,70637.20,73140.00,17
A00214476,Dallas,Navarro,Maintenance,FIRM-A40A,2025-08-13,4,147118.00,164840.80,17
A00215817,Dallas,Dallas,Maintenance,FIRM-2C76,2025-08-13,4,253974.00,210500.00,18
A00212006,Dallas,Collin,Maintenance,FIRM-1A0B,2025-05-21,6,57013.00,47852.00,13
A00218954,Dallas,Collin,Maintenance,FIRM-1A0B,2026-04-15,2,82065.00,89700.00,180
A00215939,Dallas,Denton,Maintenance,FIRM-62DB,2025-12-10,4,766890.00,700075.00,365
A00217333,Dallas,Ellis,Maintenance,FIRM-A992,2025-12-10,4,241101.00,366800.00,365
A00211561,Dallas,Navarro,Maintenance,FIRM-CB2B,2025-01-15,4,375060.00,585359.29,365
A00217835,Dallas,Navarro,Maintenance,FIRM-62DB,2026-02-11,3,319854.00,357085.00,365
A00214533,Dallas,Ellis,Maintenance,FIRM-88A8,2025-05-07,7,336673.00,525272.00,180
A00212550,Dallas,Collin,Maintenance,FIRM-2812,2025-01-15,6,415315.00,559760.23,365
A00218953,Dallas,Collin,Maintenance,FIRM-1A0B,2026-04-15,7,353193.00,453640.00,365
A00212556,Dallas,Collin,Maintenance,FIRM-3FEF,2025-01-15,8,630208.01,832182.16,365
A00218952,Dallas,Collin,Maintenance,FIRM-1A0B,2026-04-15,7,239769.56,308325.00,365
A00215931,Dallas,Denton,Maintenance,FIRM-2812,2025-11-12,9,395027.00,496848.00,365
A00217346,Dallas,Ellis,Maintenance,FIRM-7039,2025-12-02,8,1073320.00,1639424.00,365
A00217332,Dallas,Ellis,Maintenance,FIRM-88A8,2025-11-12,6,230459.50,263908.00,365
A00217116,Dallas,Navarro,Maintenance,FIRM-CB2B,2025-12-10,11,379653.00,577842.10,365
A00217226,Dallas,Navarro,Maintenance,FIRM-CB2B,2025-12-10,12,229214.88,363248.60,365
A00214167,Dallas,Kaufman,Maintenance,FIRM-01A6,2025-04-09,6,640310.95,730017.35,75
A00217779,Dallas,Navarro,Maintenance,FIRM-DC30,2026-02-11,5,25349.95,46879.70,11
A00217098,Dallas,Denton,Maintenance,FIRM-BBB8,2026-01-14,5,80976.25,117869.50,34
A00211526,Dallas,Ellis,Maintenance,FIRM-DC30,2025-02-12,5,235372.25,340922.70,65
A00217349,Dallas,Ellis,Maintenance,FIRM-1CB8,2026-03-11,3,176686.00,225866.00,65
