RecordID,Location,NoiseLevel_dB
193,Courtyard,49.6
194,Roadside,53.6
195,Courtyard,52.5
196,Roadside,67.1
197,Courtyard,51.1
198,Roadside,55.9
199,Courtyard,53.2
200,Courtyard,50.9
201,Courtyard,52.0
202,Courtyard,53.3
203,Roadside,70.1
204,Courtyard,47.5
205,Courtyard,46.6
206,Roadside,63.3
207,Courtyard,48.7
208,Courtyard,38.8
209,Courtyard,50.9
210,Courtyard,50.0
211,Roadside,59.9
212,Roadside,61.5
213,Courtyard,55.0
214,Courtyard,43.5
215,Roadside,57.8
216,Courtyard,49.1
217,Roadside,53.4
218,Courtyard,44.1
219,Roadside,58.3
220,Roadside,61.9
221,Roadside,56.5
222,Roadside,68.9
223,Roadside,63.1
224,Courtyard,50.0
225,Courtyard,58.1
226,Courtyard,51.2
227,Courtyard,46.1
228,Roadside,64.2
229,Roadside,61.2
230,Courtyard,51.4
231,Courtyard,52.6
232,Courtyard,51.6
233,Courtyard,48.3
234,Courtyard,45.4
235,Roadside,73.2
236,Courtyard,52.3
237,Roadside,62.7
238,Courtyard,52.0
239,Roadside,69.0
240,Courtyard,58.7
241,Courtyard,47.0
242,Roadside,45.7
243,Roadside,55.3
244,Courtyard,50.9
245,Roadside,58.3
246,Roadside,52.9
247,Roadside,67.8
248,Roadside,67.7
249,Courtyard,44.7
250,Courtyard,42.4
251,Roadside,62.1
252,Roadside,60.6
253,Roadside,68.3
254,Courtyard,40.1
255,Courtyard,43.5
256,Courtyard,46.5
257,Roadside,61.6
258,Courtyard,50.6
259,Roadside,56.4
260,Roadside,57.5
261,Courtyard,49.4
262,Courtyard,48.3
263,Courtyard,46.1
264,Roadside,60.2
265,Roadside,64.0
266,Courtyard,45.7
267,Courtyard,50.7
268,Courtyard,49.8
269,Courtyard,52.8
270,Courtyard,47.8
271,Roadside,54.1
272,Courtyard,46.9
273,Roadside,61.3
274,Courtyard,51.2
275,Courtyard,54.5
276,Courtyard,40.2
277,Roadside,64.2
278,Courtyard,50.9
279,Courtyard,47.6
280,Roadside,69.7
281,Courtyard,50.5
282,Roadside,64.6
283,Roadside,63.1
284,Courtyard,46.8
285,Roadside,68.7
286,Roadside,62.1
287,Roadside,70.6
288,Courtyard,53.3
289,Courtyard,48.2
290,Courtyard,44.7
291,Courtyard,49.4
292,Courtyard,48.7
293,Courtyard,54.5
294,Roadside,66.7
295,Roadside,58.1
296,Roadside,60.2
297,Roadside,69.7
298,Roadside,59.4
299,Roadside,56.8
300,Roadside,69.0
301,Roadside,62.9
302,Courtyard,35.9
303,Roadside,57.6
304,Roadside,71.2
305,Courtyard,52.8
306,Roadside,69.2
307,Roadside,67.4
308,Courtyard,41.2
309,Courtyard,53.0
310,Courtyard,51.4
311,Roadside,66.5
312,Courtyard,52.8
313,Courtyard,55.4
314,Roadside,59.9
315,Courtyard,52.9
316,Courtyard,50.2
317,Roadside,45.7
318,Courtyard,51.4
319,Courtyard,46.5
320,Roadside,65.9
321,Courtyard,42.2
322,Roadside,59.8
323,Roadside,69.1
324,Roadside,73.1
325,Courtyard,58.7
326,Courtyard,49.4
327,Roadside,66.3
328,Courtyard,54.2
329,Roadside,54.1
330,Courtyard,53.6
331,Courtyard,48.2
332,Roadside,62.8
333,Courtyard,41.3
334,Courtyard,44.1
335,Roadside,70.7
336,Roadside,59.2
337,Roadside,63.8
338,Roadside,54.2
339,Roadside,64.4
340,Courtyard,52.0
341,Courtyard,44.0
342,Courtyard,44.9
343,Roadside,63.9
344,Courtyard,57.1
345,Courtyard,54.5
346,Courtyard,49.0
347,Roadside,65.2
348,Roadside,56.6
349,Courtyard,54.3
350,Courtyard,50.4
351,Roadside,57.7
352,Courtyard,45.5
353,Courtyard,54.4
354,Roadside,64.3
355,Roadside,66.3
356,Roadside,51.7
357,Roadside,52.4
358,Roadside,60.2
359,Roadside,69.2
360,Roadside,73.7
361,Roadside,66.7
362,Courtyard,47.7
363,Courtyard,44.6
364,Roadside,58.4
365,Roadside,67.0
366,Roadside,65.9
367,Roadside,61.2
368,Courtyard,56.6
369,Courtyard,52.5
370,Roadside,57.2
371,Courtyard,54.3
372,Roadside,66.5
373,Courtyard,43.5
374,Roadside,62.2
375,Roadside,61.8
376,Courtyard,40.8
377,Roadside,64.4
378,Roadside,76.0
379,Courtyard,52.7
380,Courtyard,44.5
381,Roadside,62.1
382,Courtyard,48.9
383,Courtyard,53.1
384,Roadside,53.6
385,Courtyard,58.0
386,Roadside,65.7
387,Roadside,67.6
388,Courtyard,57.3
389,Roadside,61.1
390,Courtyard,46.7
391,Courtyard,53.7
392,Courtyard,47.8
393,Courtyard,54.1
394,Roadside,72.8
395,Roadside,63.0
396,Courtyard,43.2
397,Roadside,61.3
398,Roadside,60.6
399,Roadside,68.4
400,Courtyard,57.8
401,Courtyard,40.0
402,Courtyard,40.4
403,Courtyard,52.5
404,Courtyard,48.4
405,Roadside,59.8
406,Courtyard,47.4
407,Roadside,67.7
408,Roadside,68.1
409,Roadside,58.4
410,Courtyard,57.5
411,Roadside,51.4
412,Courtyard,57.0
413,Courtyard,65.6
414,Roadside,73.0
415,Roadside,59.6
416,Roadside,61.5
417,Roadside,65.6
418,Roadside,57.5
419,Roadside,64.8
420,Courtyard,38.4
421,Roadside,62.0
422,Courtyard,50.6
423,Courtyard,48.3
424,Courtyard,55.5
425,Courtyard,46.6
426,Courtyard,45.6
427,Courtyard,47.9
428,Courtyard,50.0
429,Roadside,66.9
430,Courtyard,47.8
431,Courtyard,47.9
432,Courtyard,50.2
433,Roadside,68.4
434,Roadside,55.6
435,Roadside,58.4
436,Roadside,65.9
437,Courtyard,51.2
438,Courtyard,47.9
439,Roadside,50.1
440,Roadside,74.0
441,Courtyard,48.8
442,Roadside,60.5
443,Roadside,67.1
444,Courtyard,52.2
445,Roadside,74.0
446,Courtyard,50.1
447,Courtyard,43.8
448,Roadside,58.7
449,Roadside,54.1
450,Roadside,66.5
451,Roadside,60.0
452,Courtyard,39.6
453,Courtyard,48.8
454,Roadside,64.4
455,Roadside,79.5
456,Roadside,57.6
457,Roadside,58.0
458,Roadside,59.2
459,Courtyard,47.3
460,Courtyard,48.7
461,Courtyard,48.4
462,Courtyard,47.7
463,Roadside,60.5
464,Courtyard,44.1
465,Roadside,57.4
466,Courtyard,47.8
467,Roadside,69.0
468,Roadside,52.5
469,Roadside,68.0
470,Courtyard,50.6
471,Roadside,68.9
472,Courtyard,46.0
473,Roadside,60.2
474,Roadside,73.2
475,Roadside,65.9
476,Courtyard,52.3
477,Courtyard,48.4
478,Roadside,55.2
479,Courtyard,44.5
480,Courtyard,47.5
481,Roadside,67.6
482,Roadside,61.6
483,Courtyard,49.1
484,Roadside,60.4
485,Courtyard,52.5
486,Roadside,65.4
487,Roadside,77.1
488,Courtyard,51.7
489,Roadside,52.4
490,Roadside,55.5
491,Roadside,58.9
492,Courtyard,42.3
493,Courtyard,52.6
494,Roadside,59.3
495,Roadside,65.9
496,Roadside,71.6
497,Courtyard,45.4
498,Courtyard,43.6
499,Courtyard,46.0
500,Roadside,70.7
