RecordID,Supplier,TimeOfDay,fc_psi,Speed_mph,CostPerCY
85,Beta,PM_Peak,4759,54.8,210.96
86,Beta,AM_Peak,4973,46.9,245.15
87,Beta,AM_Peak,4505,53.1,194.72
88,Beta,AM_Peak,5058,37.7,182.88
89,Beta,AM_Peak,4175,60.1,239.72
90,Beta,AM_Peak,4983,61.1,131.62
91,Beta,AM_Peak,4892,37.2,309.74
92,Alpha,AM_Peak,4897,53.2,299.65
93,Beta,PM_Peak,4107,56.0,257.8
94,Beta,AM_Peak,4382,46.1,127.23
95,Beta,PM_Peak,4236,54.3,144.66
96,Beta,AM_Peak,4095,44.8,185.58
97,Alpha,AM_Peak,4060,56.0,154.18
98,Beta,AM_Peak,4885,60.4,107.49
99,Alpha,PM_Peak,4302,61.2,142.1
100,Alpha,PM_Peak,4434,59.6,190.23
101,Beta,AM_Peak,4607,45.3,264.16
102,Alpha,AM_Peak,4377,45.8,144.86
103,Alpha,PM_Peak,4504,66.1,147.11
104,Beta,AM_Peak,4415,44.1,189.75
105,Alpha,PM_Peak,5036,56.3,101.93
106,Beta,AM_Peak,4563,48.1,143.83
107,Alpha,PM_Peak,5189,60.8,165.57
108,Alpha,AM_Peak,4524,61.0,326.97
109,Alpha,AM_Peak,4850,52.3,249.92
110,Alpha,AM_Peak,4539,48.9,172.65
111,Beta,AM_Peak,4821,45.1,187.5
112,Alpha,AM_Peak,4743,59.1,153.21
113,Beta,AM_Peak,4004,57.2,246.75
114,Alpha,PM_Peak,4377,62.0,229.97
115,Beta,AM_Peak,4823,57.9,263.46
116,Alpha,AM_Peak,4345,61.6,331.56
117,Beta,AM_Peak,4100,63.1,150.46
118,Beta,AM_Peak,4388,58.8,145.25
119,Beta,PM_Peak,2987,63.5,295.82
120,Alpha,AM_Peak,4868,47.4,156.17
121,Beta,PM_Peak,3368,48.1,207.9
122,Beta,AM_Peak,4986,37.3,254.1
123,Alpha,AM_Peak,4797,53.8,242.52
124,Beta,AM_Peak,3969,55.1,104.58
125,Alpha,PM_Peak,4945,58.9,226.7
126,Beta,AM_Peak,4731,52.5,178.67
127,Alpha,AM_Peak,4555,55.7,167.13
128,Beta,AM_Peak,4673,41.6,162.32
129,Beta,AM_Peak,4331,47.9,172.46
130,Beta,AM_Peak,3972,65.3,171.54
131,Alpha,PM_Peak,4965,62.4,307.32
132,Alpha,PM_Peak,4976,55.9,219.18
133,Alpha,AM_Peak,5161,59.0,113.94
134,Alpha,AM_Peak,4215,72.0,125.23
135,Alpha,PM_Peak,4734,53.2,198.8
136,Alpha,PM_Peak,5005,63.6,140.63
137,Beta,AM_Peak,4616,47.4,182.68
138,Alpha,PM_Peak,4810,60.1,84.52
139,Beta,AM_Peak,3442,40.3,121.83
140,Beta,PM_Peak,4332,64.4,602.8
141,Alpha,PM_Peak,4639,57.5,136.18
142,Beta,AM_Peak,4681,49.0,213.85
143,Beta,PM_Peak,5076,49.7,148.8
144,Beta,AM_Peak,3830,54.6,189.89
145,Beta,AM_Peak,4461,79.2,176.8
146,Alpha,PM_Peak,5099,60.5,226.95
147,Beta,AM_Peak,3942,36.4,150.11
148,Beta,AM_Peak,4573,58.6,89.19
149,Alpha,AM_Peak,4790,52.5,166.43
150,Beta,AM_Peak,4081,56.8,120.53
151,Alpha,AM_Peak,4694,52.2,116.19
152,Beta,AM_Peak,4130,58.0,199.69
153,Alpha,AM_Peak,4145,62.4,156.13
154,Alpha,PM_Peak,4760,56.8,231.47
155,Alpha,AM_Peak,4545,55.0,158.69
156,Beta,AM_Peak,3603,49.3,208.0
157,Beta,AM_Peak,4399,47.5,167.12
158,Alpha,PM_Peak,4471,55.0,311.59
159,Alpha,PM_Peak,4658,61.6,82.67
160,Beta,PM_Peak,5144,52.1,178.08
161,Beta,AM_Peak,4344,47.5,277.14
162,Beta,AM_Peak,4594,56.6,224.29
163,Alpha,AM_Peak,4608,37.4,124.7
164,Beta,AM_Peak,4670,60.9,220.16
165,Alpha,PM_Peak,4509,68.0,238.48
166,Beta,AM_Peak,4978,42.2,316.53
167,Alpha,PM_Peak,4429,61.0,229.44
168,Beta,AM_Peak,4780,56.3,206.82
169,Alpha,AM_Peak,4400,56.4,213.19
170,Beta,AM_Peak,4104,44.4,150.56
171,Beta,AM_Peak,4256,58.5,318.55
172,Beta,AM_Peak,4801,55.4,119.04
173,Beta,PM_Peak,4259,61.6,209.51
174,Beta,AM_Peak,4544,57.4,165.78
175,Alpha,PM_Peak,4695,51.8,133.56
176,Alpha,AM_Peak,4070,62.0,193.66
177,Beta,PM_Peak,3941,59.7,215.47
178,Alpha,AM_Peak,4843,60.1,215.43
179,Beta,AM_Peak,4734,47.2,124.89
180,Beta,PM_Peak,4304,58.3,193.68
181,Beta,AM_Peak,4091,50.2,204.94
182,Alpha,PM_Peak,4567,73.3,129.47
183,Alpha,AM_Peak,4139,44.3,260.77
184,Alpha,PM_Peak,5096,47.7,161.8
185,Beta,AM_Peak,4150,51.3,167.61
186,Alpha,PM_Peak,4646,54.2,200.27
187,Beta,PM_Peak,4827,55.4,286.38
188,Beta,PM_Peak,3714,56.8,140.07
189,Alpha,PM_Peak,4664,53.7,170.06
190,Alpha,PM_Peak,4280,56.0,126.02
191,Beta,PM_Peak,4602,59.7,210.92
192,Beta,PM_Peak,4111,56.8,261.48
193,Beta,AM_Peak,5349,65.7,209.38
194,Alpha,AM_Peak,4548,58.3,128.48
195,Alpha,AM_Peak,4365,47.6,173.21
196,Beta,PM_Peak,4774,60.7,190.98
197,Beta,PM_Peak,4106,55.6,261.95
198,Beta,AM_Peak,4252,42.6,214.1
199,Alpha,AM_Peak,4547,53.6,164.19
200,Alpha,PM_Peak,4305,57.4,237.13
201,Alpha,AM_Peak,4770,59.5,261.98
202,Alpha,AM_Peak,4371,58.7,132.54
203,Beta,AM_Peak,4633,59.4,157.38
204,Beta,PM_Peak,3018,51.9,131.99
205,Alpha,PM_Peak,4051,67.4,215.81
206,Beta,PM_Peak,3440,45.4,207.65
207,Beta,AM_Peak,3723,41.1,114.98
208,Alpha,PM_Peak,4766,49.5,156.5
209,Alpha,AM_Peak,4826,54.2,257.85
210,Beta,PM_Peak,3191,48.2,205.77
211,Alpha,PM_Peak,4889,62.4,128.41
212,Beta,AM_Peak,5206,58.6,170.71
213,Alpha,AM_Peak,4181,43.6,210.96
214,Alpha,PM_Peak,4464,60.4,232.77
215,Beta,AM_Peak,4275,49.7,154.33
216,Alpha,AM_Peak,4265,58.0,141.96
217,Alpha,AM_Peak,4204,41.1,135.39
218,Beta,PM_Peak,3820,62.0,203.98
219,Alpha,AM_Peak,4427,56.3,186.19
220,Alpha,AM_Peak,5327,62.5,370.17
221,Alpha,AM_Peak,4396,53.3,186.66
222,Alpha,AM_Peak,4935,51.2,213.9
223,Beta,PM_Peak,4300,61.3,122.8
224,Alpha,AM_Peak,4458,55.1,313.04
225,Beta,PM_Peak,4748,69.4,322.07
226,Beta,PM_Peak,3759,55.2,90.26
227,Beta,PM_Peak,4280,56.0,130.71
228,Beta,PM_Peak,4317,57.3,136.27
229,Beta,AM_Peak,3184,36.6,141.84
230,Alpha,AM_Peak,4756,44.5,105.63
231,Alpha,PM_Peak,4761,62.6,91.28
232,Beta,PM_Peak,4332,52.1,171.34
233,Beta,PM_Peak,5103,52.0,140.75
234,Beta,PM_Peak,4555,62.6,167.85
235,Alpha,AM_Peak,4238,54.1,154.49
236,Beta,PM_Peak,4391,51.4,200.57
237,Beta,AM_Peak,4516,57.1,368.64
238,Beta,PM_Peak,3879,63.1,246.99
239,Alpha,AM_Peak,4754,49.3,295.49
240,Beta,AM_Peak,4826,55.4,167.65
241,Beta,AM_Peak,4156,41.7,232.58
242,Alpha,AM_Peak,5032,33.0,97.24
243,Alpha,PM_Peak,4522,56.0,178.87
244,Beta,PM_Peak,4301,66.0,136.95
245,Beta,AM_Peak,3565,54.7,121.19
246,Beta,PM_Peak,4202,57.5,206.55
247,Beta,PM_Peak,5028,57.0,197.09
248,Alpha,PM_Peak,5602,45.0,219.97
249,Beta,AM_Peak,4551,52.0,137.25
250,Alpha,AM_Peak,4729,47.5,237.37
251,Beta,AM_Peak,4762,46.6,206.55
252,Alpha,PM_Peak,4513,54.5,183.57
253,Beta,AM_Peak,4341,52.8,190.21
254,Beta,AM_Peak,4173,55.8,177.38
255,Beta,AM_Peak,4374,43.0,194.44
256,Alpha,AM_Peak,4776,36.8,204.74
257,Alpha,AM_Peak,4102,45.3,142.31
258,Alpha,PM_Peak,4767,60.3,220.1
259,Alpha,AM_Peak,3914,62.4,180.03
260,Beta,AM_Peak,4626,59.5,339.15
261,Beta,PM_Peak,4029,52.0,223.23
262,Beta,AM_Peak,3495,53.7,380.21
263,Beta,AM_Peak,3636,61.4,246.14
264,Beta,AM_Peak,3956,56.4,125.63
265,Beta,AM_Peak,4864,56.1,118.59
266,Beta,AM_Peak,5404,59.4,202.95
267,Beta,AM_Peak,5061,50.7,173.73
268,Alpha,AM_Peak,4134,49.2,200.11
269,Alpha,AM_Peak,4377,63.1,222.19
270,Alpha,AM_Peak,4733,39.8,93.29
271,Beta,AM_Peak,3610,49.3,244.15
272,Beta,PM_Peak,4531,54.7,272.45
273,Beta,AM_Peak,5104,40.9,188.65
274,Alpha,AM_Peak,4245,54.3,120.09
275,Alpha,PM_Peak,4804,55.4,108.44
276,Alpha,PM_Peak,4616,49.5,106.41
277,Alpha,AM_Peak,5120,53.3,275.04
278,Alpha,AM_Peak,4837,56.1,179.26
279,Alpha,PM_Peak,4860,53.5,150.5
280,Alpha,PM_Peak,5019,52.3,352.29
281,Beta,AM_Peak,4755,40.8,268.15
282,Alpha,PM_Peak,4181,53.2,224.22
283,Beta,AM_Peak,5098,44.3,185.84
284,Beta,PM_Peak,4344,63.6,163.87
285,Beta,PM_Peak,4124,53.6,128.11
286,Beta,PM_Peak,3657,55.5,152.56
287,Alpha,AM_Peak,5322,41.0,253.37
288,Beta,AM_Peak,4375,56.2,175.08
289,Beta,PM_Peak,4654,53.8,190.57
290,Beta,PM_Peak,4273,51.3,358.61
291,Beta,AM_Peak,5063,34.5,143.11
292,Alpha,PM_Peak,4484,57.2,200.63
293,Alpha,AM_Peak,4895,52.3,188.75
294,Alpha,PM_Peak,4595,53.4,176.93
295,Alpha,AM_Peak,4991,59.9,415.65
296,Alpha,PM_Peak,4580,49.4,330.45
297,Beta,AM_Peak,4392,46.9,161.84
298,Alpha,AM_Peak,4443,39.9,251.05
299,Alpha,PM_Peak,4973,44.4,383.66
300,Beta,PM_Peak,4663,48.4,201.14
301,Alpha,PM_Peak,4525,52.5,117.36
302,Alpha,AM_Peak,4649,51.7,240.36
303,Beta,PM_Peak,4994,54.9,179.31
304,Alpha,AM_Peak,4543,55.9,103.51
305,Alpha,AM_Peak,5282,51.9,105.91
306,Alpha,AM_Peak,4831,58.1,142.95
307,Alpha,PM_Peak,4919,57.5,312.66
308,Alpha,PM_Peak,4576,40.0,199.38
309,Alpha,AM_Peak,4832,48.8,130.89
310,Beta,AM_Peak,4860,53.0,233.93
311,Beta,AM_Peak,4914,47.5,192.41
312,Alpha,PM_Peak,4575,55.4,173.27
313,Beta,AM_Peak,4654,60.9,185.65
314,Beta,AM_Peak,4405,55.4,166.82
315,Beta,PM_Peak,4039,67.1,199.85
316,Alpha,PM_Peak,4208,57.5,173.08
317,Beta,PM_Peak,3843,58.8,112.64
318,Alpha,AM_Peak,4546,50.3,250.77
319,Beta,AM_Peak,4250,49.1,255.73
320,Beta,AM_Peak,3992,44.7,128.77
321,Beta,PM_Peak,4245,60.9,238.36
322,Alpha,AM_Peak,4743,64.5,199.43
323,Beta,AM_Peak,3647,42.3,196.87
324,Alpha,PM_Peak,4845,54.4,156.21
325,Beta,PM_Peak,5080,68.5,196.31
326,Beta,AM_Peak,4431,42.9,262.64
327,Beta,PM_Peak,3899,52.4,171.92
328,Beta,PM_Peak,3603,60.4,160.41
329,Beta,AM_Peak,5014,53.1,151.13
330,Alpha,AM_Peak,4396,52.7,197.81
331,Beta,AM_Peak,4280,63.8,290.82
332,Alpha,AM_Peak,4708,43.9,122.15
333,Alpha,PM_Peak,4343,38.9,116.68
334,Alpha,PM_Peak,3820,58.9,203.18
335,Beta,PM_Peak,4346,48.2,89.58
336,Alpha,PM_Peak,4851,60.9,165.37
337,Alpha,AM_Peak,4833,43.4,202.47
338,Alpha,PM_Peak,3963,54.5,150.77
339,Beta,AM_Peak,3918,59.0,147.04
340,Beta,PM_Peak,4512,47.8,186.02
341,Beta,PM_Peak,4353,54.1,308.78
342,Alpha,AM_Peak,4592,59.9,188.78
343,Beta,AM_Peak,3641,60.9,105.46
344,Alpha,PM_Peak,5124,58.4,247.19
345,Beta,PM_Peak,4324,58.9,162.28
346,Beta,AM_Peak,4205,56.7,238.83
347,Alpha,PM_Peak,4927,69.0,147.93
348,Alpha,AM_Peak,4509,51.0,162.51
349,Alpha,PM_Peak,4942,60.6,161.92
350,Beta,AM_Peak,4563,59.8,265.5
351,Alpha,PM_Peak,4569,62.1,124.78
352,Alpha,PM_Peak,4657,50.8,309.95
353,Beta,PM_Peak,3959,50.6,193.7
354,Beta,PM_Peak,3641,60.8,207.24
355,Alpha,AM_Peak,4576,46.9,129.31
356,Beta,AM_Peak,3510,46.4,165.42
357,Alpha,AM_Peak,4698,65.6,433.51
358,Alpha,AM_Peak,4665,60.3,221.2
359,Alpha,PM_Peak,4839,61.5,91.85
360,Alpha,AM_Peak,4621,57.7,269.18
361,Alpha,AM_Peak,4669,62.2,152.28
362,Beta,AM_Peak,3250,56.9,129.65
363,Beta,AM_Peak,4470,56.4,129.86
364,Alpha,PM_Peak,4802,44.4,144.0
365,Alpha,PM_Peak,4606,58.2,162.84
366,Beta,AM_Peak,4404,67.0,133.49
367,Alpha,PM_Peak,4802,56.1,207.4
368,Alpha,AM_Peak,4613,55.2,108.45
369,Beta,AM_Peak,5184,65.2,95.09
370,Alpha,AM_Peak,4516,68.2,257.9
371,Beta,PM_Peak,4183,54.6,127.74
372,Alpha,PM_Peak,4686,62.1,265.22
373,Alpha,AM_Peak,4315,64.1,201.64
374,Beta,PM_Peak,3802,62.7,151.29
375,Alpha,AM_Peak,4556,59.0,179.31
376,Alpha,PM_Peak,5010,62.8,261.54
377,Alpha,AM_Peak,4999,44.6,181.15
378,Beta,AM_Peak,4322,45.1,125.63
379,Alpha,AM_Peak,4646,68.7,268.14
380,Beta,AM_Peak,4177,55.2,313.8
381,Alpha,AM_Peak,4985,45.3,210.35
382,Alpha,AM_Peak,4382,54.5,155.58
383,Beta,AM_Peak,4636,45.5,198.38
384,Alpha,AM_Peak,4532,45.8,95.93
385,Beta,PM_Peak,4438,61.3,208.25
386,Alpha,AM_Peak,4435,58.0,117.47
387,Beta,AM_Peak,4602,36.2,161.86
388,Beta,PM_Peak,4027,58.6,117.26
389,Alpha,PM_Peak,5100,55.3,161.17
390,Alpha,PM_Peak,4561,61.7,383.07
391,Alpha,PM_Peak,5208,57.5,84.32
392,Beta,PM_Peak,3684,57.8,201.0
393,Alpha,PM_Peak,5081,64.0,202.29
394,Alpha,AM_Peak,4222,43.8,260.85
395,Alpha,AM_Peak,4338,48.1,102.15
396,Beta,AM_Peak,4571,59.8,164.87
397,Beta,AM_Peak,4628,63.8,179.5
398,Beta,PM_Peak,3916,70.3,179.85
399,Beta,AM_Peak,4362,47.5,291.2
400,Alpha,AM_Peak,4917,54.0,162.3
401,Beta,AM_Peak,4332,66.3,228.37
402,Beta,PM_Peak,4312,56.2,355.13
403,Alpha,AM_Peak,4432,67.9,203.77
404,Beta,AM_Peak,4314,55.3,113.14
405,Alpha,AM_Peak,4738,33.8,219.47
406,Alpha,AM_Peak,5303,49.4,218.26
407,Beta,AM_Peak,4258,53.3,210.66
408,Alpha,PM_Peak,4053,55.7,161.61
409,Beta,AM_Peak,4155,50.0,189.87
410,Beta,AM_Peak,4158,61.4,126.81
411,Beta,AM_Peak,4781,47.6,182.72
412,Beta,AM_Peak,5052,53.5,218.45
413,Beta,PM_Peak,5122,56.5,240.74
414,Alpha,AM_Peak,4639,47.5,215.82
415,Alpha,AM_Peak,4741,50.7,201.28
416,Alpha,AM_Peak,4388,38.9,161.55
417,Alpha,AM_Peak,4442,53.9,131.51
418,Beta,AM_Peak,5542,46.1,129.91
419,Alpha,AM_Peak,4994,55.4,155.15
420,Alpha,AM_Peak,4846,49.3,149.44
421,Alpha,PM_Peak,4155,60.6,203.29
422,Beta,AM_Peak,4927,51.1,173.98
423,Beta,AM_Peak,4193,51.7,175.64
424,Beta,PM_Peak,4482,62.4,161.01
425,Beta,PM_Peak,4565,49.2,236.08
426,Alpha,PM_Peak,4387,58.9,208.87
427,Beta,AM_Peak,4667,64.0,168.35
428,Alpha,PM_Peak,4542,62.1,188.57
429,Alpha,AM_Peak,4502,49.1,111.74
430,Alpha,AM_Peak,4993,48.6,207.24
431,Alpha,AM_Peak,4136,46.6,88.94
432,Beta,AM_Peak,4182,51.4,176.21
433,Beta,PM_Peak,4921,60.6,133.28
434,Alpha,AM_Peak,4807,60.9,224.88
435,Beta,PM_Peak,4275,58.1,168.34
436,Alpha,PM_Peak,4326,69.2,236.07
437,Alpha,PM_Peak,4350,48.2,185.92
438,Beta,PM_Peak,4127,52.4,149.49
439,Beta,PM_Peak,4202,61.6,216.99
440,Alpha,PM_Peak,4450,53.9,158.41
441,Alpha,PM_Peak,4111,56.3,225.61
442,Alpha,PM_Peak,4639,56.2,233.72
443,Alpha,AM_Peak,5197,47.9,197.34
444,Alpha,PM_Peak,4995,54.1,138.63
445,Beta,PM_Peak,3868,46.6,214.09
446,Beta,PM_Peak,4411,52.4,254.29
447,Beta,PM_Peak,4968,53.8,110.38
448,Beta,PM_Peak,4272,52.0,165.33
449,Beta,PM_Peak,4324,63.0,211.49
450,Alpha,PM_Peak,4354,57.7,198.62
451,Beta,AM_Peak,3981,53.0,157.73
452,Beta,AM_Peak,4476,48.5,339.51
453,Alpha,AM_Peak,4662,55.0,121.92
454,Beta,PM_Peak,4391,71.1,247.01
455,Alpha,PM_Peak,4321,49.6,172.06
456,Alpha,AM_Peak,4953,39.6,119.13
457,Beta,AM_Peak,3923,60.4,212.02
458,Beta,PM_Peak,4670,56.4,91.93
459,Beta,AM_Peak,5312,45.1,218.34
460,Alpha,AM_Peak,4864,46.8,137.72
461,Beta,AM_Peak,5147,25.6,287.56
462,Alpha,AM_Peak,4741,53.2,212.66
463,Beta,PM_Peak,4959,56.2,138.18
464,Beta,AM_Peak,4407,35.6,125.57
465,Alpha,AM_Peak,4713,37.9,267.48
466,Alpha,PM_Peak,5071,57.9,159.72
467,Beta,AM_Peak,4366,58.2,208.46
468,Alpha,PM_Peak,5202,70.2,181.88
469,Alpha,PM_Peak,4038,70.7,271.51
470,Beta,PM_Peak,5017,52.6,158.49
471,Beta,AM_Peak,4518,57.9,240.67
472,Alpha,AM_Peak,4376,66.2,181.21
473,Beta,PM_Peak,4050,60.4,374.3
474,Alpha,AM_Peak,4377,54.0,206.31
475,Alpha,PM_Peak,3506,63.8,144.45
476,Beta,AM_Peak,4443,45.5,186.27
477,Beta,PM_Peak,3621,64.0,180.41
478,Alpha,AM_Peak,5327,42.0,207.46
479,Alpha,PM_Peak,4262,56.0,238.41
480,Alpha,AM_Peak,4573,40.1,157.36
481,Beta,PM_Peak,3612,48.4,158.97
482,Alpha,AM_Peak,4862,61.6,140.17
483,Beta,PM_Peak,4381,46.1,231.57
484,Alpha,AM_Peak,4177,38.3,151.75
485,Beta,PM_Peak,4249,63.9,172.34
486,Beta,AM_Peak,4318,40.5,182.65
487,Alpha,AM_Peak,3930,47.6,188.51
488,Beta,PM_Peak,4412,49.5,108.4
489,Alpha,PM_Peak,4040,47.4,169.77
490,Alpha,AM_Peak,4593,56.3,239.03
491,Alpha,AM_Peak,5366,64.7,215.76
492,Alpha,PM_Peak,4704,61.7,330.11
493,Alpha,PM_Peak,5356,58.4,298.57
494,Beta,PM_Peak,4747,53.4,118.76
495,Alpha,AM_Peak,4884,48.6,114.6
496,Alpha,PM_Peak,4675,57.1,148.69
497,Alpha,PM_Peak,4338,64.5,190.13
498,Beta,AM_Peak,4648,50.0,280.67
499,Alpha,AM_Peak,4993,53.8,315.6
500,Beta,PM_Peak,4968,54.8,190.67
